1100900	¤»¤¿¤ÊÄ®ËÌÛØ»³¶èË­²¬	4225	13953	201207031200	
1100920	¤»¤¿¤ÊÄ®ÂçÀ®¶èÅÔ¡ö	4214	13949	200603011200	
1100921	¤»¤¿¤ÊÄ®À¥Ãª¶èËÜÄ®¡ö	4227	13951	200603011200	
1100922	¤»¤¿¤ÊÄ®À¥Ãª¶èËÌÅç²Î¡ö	4236	13950	200606201200	
1100930	¤»¤¿¤ÊÄ®ËÌÛØ»³¶èÆÁÅç¡Êµì¡Ë¡ö	4225	13953	200207291200	201105121300
1100931	¤»¤¿¤ÊÄ®ËÌÛØ»³¶èÆÁÅç¡ö	4225	13953	201105121300	
1150000	¾®Ã®»Ô¾¡Ç¼Ä®	4311	14101	194399999999	
1150020	¾®Ã®»Ô²Ö±àÄ®¡ö	4311	14100	200603011200	
1150100	ÀÑÃ°Ä®Æü»ÊÄ®	4321	14028	199407151200	
1150120	ÀÑÃ°Ä®Èþ¹ñÄ®¡ö	4318	14036	200603011200	
1150121	ÀÑÃ°Ä®Í¾ÊÌÄ®¡ö	4319	14023	200606201200	
1150230	¸ÅÊ¿Ä®ÉÍÄ®¡Êµì¡Ë¡ö	4316	14038	200207291200	201105121300
1150231	¸ÅÊ¿Ä®ÉÍÄ®¡Êµì£²¡Ë¡ö	4316	14038	201105121300	202204291200
1150232	¸ÅÊ¿Ä®ÉÍÄ®¡ö	4316	14038	202204291200	
1150330	¿ÎÌÚÄ®À¾Ä®¡Êµì¡Ë¡ö	4309	14046	200207291200	201105121300
1150331	¿ÎÌÚÄ®À¾Ä®¡ö	4309	14046	201105121300	
1150400	Í¾»ÔÄ®Ä«ÆüÄ®	4312	14047	199604011200	
1150420	Í¾»ÔÄ®ÉÍÃæÄ®¡ö	4312	14047	200606201200	
1150520	ÀÖ°æÀîÂ¼ÀÖ°æÀî¡ö	4305	14049	200603011200	
1160020	¥Ë¥»¥³Ä®Ãæ±ûÄÌ¡ö	4248	14041	200603011200	
1160130	¿¿¼íÂ¼¿¿¼í¡Êµì¡Ë¡ö	4246	14048	200207291200	201105121300
1160131	¿¿¼íÂ¼¿¿¼í¡Êµì£²¡Ë¡ö	4246	14048	201105121300	201206231200
1160132	¿¿¼íÂ¼¿¿¼í¡ö	4246	14048	201206231200	
1160230	Î±¼÷ÅÔÂ¼Î±¼÷ÅÔ¡Êµì¡Ë¡ö	4244	14053	200207291200	201105121300
1160231	Î±¼÷ÅÔÂ¼Î±¼÷ÅÔ¡ö	4244	14053	201105121300	
1160320	´îÌÐÊÌÄ®´îÌÐÊÌ¡ö	4248	14056	200603011200	
1160430	µþ¶ËÄ®µþ¶Ë¡Êµì¡Ë¡ö	4251	14053	200207291200	201105121300
1160431	µþ¶ËÄ®µþ¶Ë¡ö	4252	14053	201105121300	
1160500	¶æÃÎ°ÂÄ®Æî£±¾ò	4254	14045	194499999999	
1160520	¶æÃÎ°ÂÄ®ËÌ£´¾ò¡ö	4254	14046	200603011200	
1170000	ÅçËÒÂ¼¹¾¥ÎÅç	4239	14002	199407151200	
1170020	ÅçËÒÂ¼Çñ¡ö	4242	14004	200603011200	
1170100	¼÷ÅÔÄ®¿·±É¡Êµì¡Ë	4248	14013	188499999999	200811041200
1170101	¼÷ÅÔÄ®¿·±É	4248	14013	200811041200	
1170120	¼÷ÅÔÄ®ÅÏÅç¡ö	4247	14014	200603011200	
1170220	¹õ¾¾ÆâÄ®¹õ¾¾Æâ¡Êµì¡Ë¡ö	4240	14018	200603011200	200709261200
1170221	¹õ¾¾ÆâÄ®¹õ¾¾Æâ¡ö	4240	14018	200709261200	
1170320	Íö±ÛÄ®Íö±Û¡ö	4248	14032	200603011200	
1170430	¶¦ÏÂÄ®ÆîËÚ»÷¡Êµì¡Ë¡ö	4259	14037	200207291200	201105121300
1170431	¶¦ÏÂÄ®ÆîËÚ»÷¡ö	4259	14037	201105121300	
1170500	´äÆâÄ®À¶½»¡Êµì¡Ë	4259	14031	199604011200	201505281200
1170501	´äÆâÄ®¹âÂæ	4259	14031	201505281200	
1170520	´äÆâÄ®À¶½»¡ö	4259	14031	201507301200	
1170630	ÇñÂ¼³ý¾ÂÂ¼¡Êµì¡Ë¡ö	4304	14030	200207291200	201105121300
1170631	ÇñÂ¼³ý¾ÂÂ¼¡ö	4304	14030	201105121300	
1170720	¿À·ÃÆâÂ¼¿À·ÃÆâ¡ö	4309	14026	200603011200	
1190000	±ü¿¬Ä®ÊÆ²¬	4204	13926	199504131500	200011301200
1190001	±ü¿¬Ä®¾¾¹¾	4205	13928	200011301200	
1190021	±ü¿¬Ä®ÀÄÉÄ¡ö	4204	13927	200606201200	201211151600
